epoch,train_loss,val_loss
1,0.3950520755064709,0.3597284056749261
2,0.22632958756616917,0.2957162184944465
3,0.19767592758911207,0.26717016462676385
4,0.18233360186180328,0.24456375747319037
5,0.17223942041101054,0.2336193289485695
6,0.16549387015104394,0.22344647318807176
7,0.15995836582200096,0.21806201469366418
8,0.15525836979302204,0.21021962975895644
9,0.151780061306491,0.20769277564442962
10,0.14847838685577572,0.20022697059935465
11,0.146077986028582,0.19854156323809705
12,0.14413157918304895,0.19860899484279926
13,0.1425472135113911,0.19212336092893192
14,0.14141222505178483,0.19069703711006325
15,0.14006485933832613,0.19083682455025405
16,0.13844068551873387,0.1882385724572339
17,0.13791116814574605,0.18435961388689795
18,0.13670831022313554,0.182962429985857
19,0.13650698111405807,0.17846293637710647
20,0.1360782543580654,0.17824731235077293
21,0.1355992903981067,0.17931744008903394
22,0.1348145800173127,0.1803440498566844
23,0.13341984318564443,0.1811895917790754
24,0.13290985085534893,0.17904696543544732
25,0.13365318207505356,0.17765335360982415
26,0.13263183106428467,0.18072919483435188
27,0.13205384026097372,0.17685818987204724
28,0.13252719577082941,0.1812453803411831
29,0.13084859106138064,0.17977812501502236
30,0.13053752366155172,0.17685390509991508
31,0.13069385480314746,0.17534961754973113
32,0.13017592654328364,0.17726594039951912
33,0.12980838303629602,0.17747384708035005
34,0.1289632754004135,0.1797381957240647
35,0.1291835097396441,0.17532059295559607
36,0.1286443627142065,0.17703855248293857
37,0.12941412237010347,0.1737186384063392
38,0.12812668771512561,0.17679397041471495
39,0.12689748876250265,0.1744800945644646
40,0.12805600809558232,0.17431560315212336
41,0.12782319586418908,0.17684970247536086
42,0.12800649899755104,0.17698820434184212
43,0.12672878833308407,0.17829139463594673
44,0.12672618597492505,0.17928396080364317
45,0.1259663431954681,0.17450269071059504
46,0.12650494607575805,0.17853950766461948
47,0.1264227147126541,0.17919755869122583
