sensor,MAE,MSE,RMSE,R2
1,0.1670510470867157,0.07431231439113617,0.2726028561592102,0.935408353805542
2,0.23567287623882294,0.17367830872535706,0.4167473018169403,0.8574453592300415
3,0.25995078682899475,0.17303822934627533,0.41597864031791687,0.8892571330070496
4,0.11587438732385635,0.028346000239253044,0.16836270689964294,0.9344118237495422
5,0.18565243482589722,0.1091642826795578,0.3304001986980438,0.923607349395752
6,0.14226634800434113,0.04752407595515251,0.21800017356872559,0.9561780691146851
7,0.4794093668460846,0.5409166216850281,0.7354703545570374,0.5865834355354309
8,0.16150404512882233,0.1346130073070526,0.36689645051956177,0.9255674481391907
9,0.11980819702148438,0.031086107715964317,0.17631252110004425,0.9080089330673218
10,0.10758776217699051,0.03159548342227936,0.17775118350982666,0.9297546744346619
