feature,MAE,MSE,RMSE,MAPE_percent,R2
flow,0.17437024414539337,0.0689072459936142,0.26250189542770386,105.1895523071289,0.9332401156425476
occupancy,0.18269452452659607,0.13974764943122864,0.37382838129997253,134.9788818359375,0.8694509267807007
speed,0.23536841571331024,0.19462744891643524,0.4411660134792328,187.56552124023438,0.8391728401184082
