#{"t_start": 1787958908.5660124, "env_id": "None"}
r,l,t
-0.511891,12,245.007594
-1.418655,12,246.168613
-1.281015,12,247.166865
-0.922305,12,248.002985
-0.983093,12,248.959198
-0.512562,12,250.0831
-0.068466,12,251.083086
-0.77746,12,252.005126
0.217099,12,253.024916
-1.126628,12,253.909475
-1.195048,12,254.949918
-1.371022,12,256.566268
-0.302632,12,257.553673
-0.266584,12,258.564728
-2.231735,12,259.446495
-2.322021,12,260.475576
-0.735007,12,261.222707
-2.993662,12,262.270031
-0.53867,12,263.330659
-2.020866,12,264.346296
-1.260462,12,265.3095
-1.774213,12,266.504889
-0.438231,12,267.507947
-0.391435,12,268.558429
-0.35301,12,269.477581
-0.495594,12,270.39978
0.816552,12,271.25115
-0.442865,12,272.275569
0.063796,12,273.303082
-1.321597,12,274.344497
-0.402187,12,275.434834
-0.620893,12,276.431512
-0.418629,12,277.333322
-0.05926,12,278.45272
-1.041319,12,279.389857
-1.156769,12,280.500188
-0.879085,12,281.574365
0.247242,12,282.569384
-0.557551,12,283.547079
-1.039181,12,284.526538
-0.495021,12,285.53997
-0.008438,12,286.499742
-0.296078,12,287.430401
0.086902,12,288.417864
0.131857,12,289.42272
-0.646527,12,290.442881
0.132211,12,291.243274
-0.202488,12,292.329281
-0.421816,12,293.220709
-0.626691,12,294.180706
-1.026376,12,295.255269
0.875053,12,296.087223
0.073841,12,297.109233
-0.636237,12,298.455144
-1.270881,12,299.410563
-0.982858,12,300.25318
-0.132554,12,301.281379
-0.668664,12,302.133005
0.148119,12,303.078659
-0.628584,12,304.023777
-1.234682,12,304.998422
-1.744377,12,305.802158
-1.375522,12,306.869281
-2.867396,12,307.859693
-1.166211,12,309.082988
-0.176868,12,310.043259
0.223073,12,311.044304
-1.620203,12,311.94482
-0.701984,12,313.183139
0.605704,12,314.092764
-0.40984,12,314.974804
0.004942,12,316.063905
-0.165882,12,317.113003
0.789899,12,317.937518
-0.771084,12,318.959315
0.238469,12,320.100727
-1.721141,12,321.039605
-0.290677,12,322.316012
-0.221677,12,323.243343
0.572261,12,324.315038
-0.248003,12,325.223105
-0.495599,12,326.079072
-1.093515,12,326.906773
-0.692027,12,327.787127
0.235793,12,328.810501
0.992818,12,329.728409
-0.152998,12,330.632981
0.474356,12,331.506941
-1.001667,12,332.473406
-0.812739,12,333.330829
-0.20926,12,334.259151
0.013759,12,335.250987
-1.400261,12,336.282954
-1.239571,12,337.363043
-0.956265,12,338.378905
0.187316,12,339.336587
-0.035168,12,340.776934
-2.670211,12,341.699223
-0.292787,12,342.703939
0.787965,12,343.612297
-2.776977,12,344.727728
-1.040416,12,345.6828
-1.216751,12,346.749236
-1.517347,12,347.810811
-1.44907,12,348.794008
-0.986423,12,349.740691
-1.095958,12,350.701014
0.068563,12,351.653758
-1.215263,12,352.716551
-0.765225,12,353.634496
0.48096,12,354.623129
-1.2598,12,355.42644
-0.931431,12,356.370419
-0.752171,12,357.341739
-0.11332,12,358.283783
-0.08142,12,359.287127
-0.465358,12,360.139681
-0.563407,12,361.091692
-0.788716,12,362.20274
-0.966558,12,363.27317
-0.843454,12,364.268085
0.688258,12,365.075589
0.408674,12,365.820722
-1.130752,12,366.897649
-0.225127,12,368.121227
-1.340995,12,369.040886
-0.412625,12,370.139634
-0.162048,12,371.215397
-0.482056,12,372.370077
-0.817468,12,373.516153
-0.673842,12,374.465551
-0.419657,12,375.380726
-1.049207,12,376.270295
-0.548045,12,377.23803
-0.578626,12,378.196358
-0.601617,12,379.133102
-0.9017,12,380.080295
-0.707554,12,381.159325
-1.213712,12,382.275301
-0.818856,12,383.698623
-0.217912,12,384.720577
0.085943,12,385.860526
-0.658708,12,386.92306
-1.241067,12,387.821341
0.474396,12,388.733258
-0.421516,12,389.68444
-2.586909,12,390.589888
-0.74324,12,391.419805
0.618456,12,392.282949
-1.877683,12,393.075034
-1.185556,12,394.063829
-0.726559,12,394.941176
