epoch,train_loss,validation_loss,learning_rate,epoch_time_seconds
1,0.6257448946006521,0.40504732728004456,0.001,2.972942352294922
2,0.3356786678239538,0.28628694486402767,0.001,2.5616295337677
3,0.2984516902094362,0.27796854546323047,0.001,2.900745391845703
4,0.2740317557660666,0.2564578894567813,0.001,4.091403961181641
5,0.263225823748855,0.2578781944096223,0.001,3.895437717437744
6,0.2572460512627491,0.24850736494527176,0.001,2.7086284160614014
7,0.25651864238612715,0.24757780400409654,0.001,2.596479892730713
8,0.2502090214833135,0.2478044039105185,0.001,2.63175106048584
9,0.24648288334551038,0.24432715396848811,0.001,2.6239068508148193
10,0.24314766095248094,0.2419744373444241,0.001,2.808732032775879
11,0.2436560400013995,0.25085077779556775,0.001,2.637608766555786
12,0.24079475135201703,0.23854824362436214,0.001,2.5802695751190186
13,0.23860498680879438,0.24220038920170028,0.001,2.746213912963867
14,0.23857619793821844,0.23781885028423627,0.001,2.7216670513153076
15,0.2371129269557278,0.2433078623719463,0.001,2.6867685317993164
16,0.24264062521191482,0.2572703702589728,0.001,2.6783547401428223
17,0.242459536074094,0.2351005842938649,0.001,2.604156255722046
18,0.23418165089399587,0.23258011574535284,0.001,2.5960614681243896
19,0.2382189840755352,0.24330152224740917,0.001,2.6272947788238525
20,0.23285325921607397,0.2289658943296286,0.001,2.570143938064575
21,0.23087653301659847,0.239842867810893,0.001,2.537750720977783
22,0.23314318804132472,0.22769894489585413,0.001,2.579380989074707
23,0.22783181573268352,0.22896523339753763,0.001,2.5521047115325928
24,0.22548461144762144,0.22036920006872568,0.001,2.4773995876312256
25,0.22423788615979107,0.22084876794040068,0.001,2.553838014602661
26,0.22875286917458298,0.2262024829672906,0.001,2.4988527297973633
27,0.23051977304515775,0.2139743821817381,0.001,2.7464728355407715
28,0.22523770824528477,0.2177695273074824,0.001,2.570775032043457
29,0.22171476982811214,0.2185588974177703,0.001,2.583475351333618
30,0.22343136603530334,0.219069609422716,0.001,2.716498613357544
31,0.2223989502452548,0.2154069079704263,0.001,2.7748050689697266
32,0.22207761991997743,0.22241424791027137,0.001,2.6388964653015137
33,0.2196753839397269,0.21833493801056666,0.0005,2.6675214767456055
34,0.2086148756880758,0.21858957813501897,0.0005,2.727611780166626
35,0.20374346381515163,0.2275669642684153,0.0005,2.7301840782165527
36,0.19851395785232395,0.23151246860253352,0.0005,2.72479510307312
37,0.19983816038098756,0.23866115537373261,0.0005,2.729374408721924
38,0.19549138046019662,0.2373016312482933,0.0005,2.6811654567718506
39,0.19203670906985998,0.23888207635680386,0.00025,2.6819534301757812
40,0.1929588042498499,0.23280120753676842,0.00025,2.5888636112213135
41,0.18729952383568577,0.23370412802723137,0.00025,2.5737688541412354
42,0.1875043825510621,0.23231307169922857,0.00025,2.6188061237335205
