feature,MAE,MSE,RMSE,MAPE_percent,R2
flow,0.21664723753929138,0.09753866493701935,0.3123117983341217,107.31623077392578,0.9070878624916077
occupancy,0.22402901947498322,0.1674666702747345,0.4092269241809845,229.88641357421875,0.8523339629173279
speed,0.2660570442676544,0.19599319994449615,0.44271120429039,289.8993225097656,0.8360425233840942
