epoch,train_loss,val_loss
1,0.36488235346400305,0.20229149210655403
2,0.17555022611869125,0.16199324350323172
3,0.14820026044783763,0.14678267794567468
4,0.1366748834902695,0.13285524821356734
5,0.1291823761123872,0.12787627326115006
6,0.12401819579357831,0.12586040037731572
7,0.12239116568142482,0.1256764928519467
8,0.11825190179889798,0.11948999973139743
9,0.11699407252611882,0.11836490096238306
10,0.1151919852632075,0.11845072082648671
11,0.11392673039270255,0.11576235753789609
12,0.1125598066938085,0.11527357521943786
13,0.11139476023440671,0.11536416473757642
14,0.10962565155560766,0.11581230797153003
15,0.10977117357688858,0.1134138265312118
16,0.10951604340321107,0.11414569785154435
17,0.10845261559571488,0.11358519242631555
18,0.10725228091361136,0.11366135689094986
19,0.1066550650734303,0.11287976965525853
20,0.10531863040224211,0.11307627589181153
21,0.10545819016899943,0.1129510735764223
22,0.10605000921916516,0.1125249346983654
23,0.10441891625002986,0.11245780641435871
24,0.1049767196290079,0.11215944924681166
25,0.1048249592351506,0.11241300281709331
26,0.10370171528398334,0.11426663836423842
27,0.10355061678003709,0.11416025304460167
28,0.10308926114618844,0.1112309486685748
29,0.10293555527772454,0.11387080558312067
30,0.103027170760301,0.11254264476668256
31,0.1030611291186548,0.11197628446755746
32,0.10211500908822882,0.11220001373138533
33,0.10195865377034892,0.1133301238320912
34,0.10162784005768905,0.11333751620815245
35,0.10039734279984466,0.11504093933213712
36,0.10044905289685208,0.1130197489751077
37,0.10092302985688192,0.11123262979369647
38,0.0999233977802826,0.11172330281243134
