#{"t_start": 1788073257.9197075, "env_id": "None"}
r,l,t
0.127865,12,422.551416
0.1269,12,424.232718
-0.119164,12,425.8182
-0.024223,12,427.417407
0.277929,12,428.982292
0.331097,12,430.577425
-0.096843,12,432.182643
-0.278997,12,433.871105
-0.118522,12,435.556245
-0.041915,12,437.627631
0.01758,12,439.26683
0.137686,12,440.803426
-0.243211,12,442.594095
0.390149,12,444.106381
0.112179,12,445.686526
-0.102863,12,447.444257
0.198304,12,449.043209
0.121787,12,450.567627
0.076324,12,452.105755
-0.278334,12,453.736896
-0.007986,12,455.42803
-0.007289,12,457.105376
0.223239,12,458.612502
0.051414,12,460.183361
0.165013,12,461.717501
0.206239,12,463.28072
0.02877,12,464.895502
0.119408,12,466.434082
0.150326,12,468.016005
-0.092228,12,469.607074
-0.019746,12,471.283921
0.07584,12,472.889267
0.074079,12,474.461492
0.011439,12,476.006699
-0.175386,12,477.65706
-0.079588,12,479.328038
0.285743,12,480.870554
0.198415,12,482.457684
-0.077906,12,484.134613
0.312956,12,485.736318
0.368704,12,487.221349
-0.120018,12,488.814356
0.021086,12,490.637719
0.215717,12,492.183005
-0.152995,12,493.847558
-0.101667,12,495.409295
0.22983,12,496.940946
-0.014501,12,498.53288
0.189971,12,500.128161
0.254356,12,501.712483
0.029579,12,503.244816
0.254459,12,505.241984
0.106827,12,506.86274
-0.309337,12,508.556607
0.175265,12,510.115591
0.18166,12,511.689656
-0.010077,12,513.370562
0.156022,12,514.922089
0.413453,12,516.456788
0.179372,12,517.96335
0.029737,12,519.592713
0.125695,12,521.127061
0.361346,12,522.733701
0.101352,12,524.268835
0.249569,12,525.87798
0.395861,12,527.334287
0.071175,12,528.985716
0.246086,12,530.585822
0.239944,12,532.149052
0.298783,12,533.747746
0.279177,12,535.33957
0.090889,12,536.82659
0.231673,12,538.595014
-0.022943,12,540.196872
0.253398,12,541.787112
0.024751,12,543.385966
0.026476,12,544.910733
0.008889,12,546.481657
0.048308,12,548.064451
0.036874,12,549.684846
0.319762,12,551.242844
0.061462,12,552.769933
-0.009496,12,554.460856
-0.009527,12,556.100988
0.076519,12,557.720821
0.202951,12,559.308958
0.211839,12,560.853395
0.31706,12,562.389454
0.24574,12,564.022667
0.110028,12,565.625839
0.164255,12,567.208578
0.336977,12,568.650678
-0.402587,12,570.321425
-0.076863,12,571.985512
0.127115,12,574.010347
0.1979,12,575.498317
0.268934,12,577.110636
0.274404,12,578.676352
0.171932,12,580.157036
0.226421,12,581.70735
-0.050259,12,583.264157
-0.154627,12,584.910878
0.185503,12,586.596603
0.175919,12,588.135126
0.284778,12,589.692864
0.211788,12,591.179234
0.105552,12,592.717668
-0.046268,12,594.30203
0.149484,12,595.878299
0.155875,12,597.414576
0.256453,12,598.951344
-0.274296,12,600.635157
0.423177,12,602.19948
0.013073,12,603.773037
0.224464,12,605.293644
0.284062,12,606.789082
0.125845,12,608.375262
0.195912,12,609.931056
0.173565,12,611.504411
0.12732,12,613.067293
0.451032,12,614.545409
0.252193,12,616.059245
0.223243,12,617.660814
-0.005644,12,619.227699
0.221797,12,620.874484
0.173382,12,622.53368
0.098044,12,624.130682
0.324438,12,625.653196
0.241846,12,627.184092
0.393604,12,628.680889
0.256942,12,630.210653
-0.019282,12,631.841497
0.395404,12,633.427176
0.300573,12,634.950345
0.19896,12,636.541495
0.434353,12,638.027645
0.28242,12,639.69762
0.308261,12,641.516197
0.20672,12,643.061819
0.327521,12,644.61649
0.267054,12,646.166612
0.260327,12,647.787768
0.308498,12,649.341974
0.304711,12,650.842094
0.335681,12,652.351893
0.349865,12,653.8652
0.063787,12,655.4211
0.065085,12,657.064381
0.315773,12,658.59963
0.357128,12,660.124455
0.562255,12,661.663478
0.45706,12,663.166208
0.184194,12,664.789694
0.098387,12,666.333206
0.270791,12,667.885139
0.370185,12,669.426189
0.312521,12,671.016221
0.380408,12,672.575115
0.678062,12,674.033301
0.257529,12,675.557635
0.207463,12,677.01849
0.31422,12,678.575185
0.188071,12,680.10884
0.315066,12,681.657655
0.219964,12,683.285326
0.197445,12,684.763798
0.047848,12,686.343401
0.36692,12,687.872261
0.26825,12,689.507566
0.230224,12,691.111642
0.357927,12,692.63242
0.240099,12,694.226547
0.456239,12,695.752118
0.147231,12,697.397261
0.286755,12,698.945201
0.265733,12,700.42996
0.638023,12,701.846757
0.135945,12,703.497058
-0.053966,12,705.042143
0.098076,12,707.024196
-0.113471,12,708.766049
0.233829,12,710.250557
0.151675,12,711.829123
0.480892,12,713.307461
0.33314,12,714.82023
0.280601,12,716.366127
0.506435,12,717.873622
0.223772,12,719.451984
0.433927,12,720.958365
0.477321,12,722.559477
0.239358,12,724.117878
0.538747,12,725.597063
0.246658,12,727.091704
0.323821,12,728.564677
0.263251,12,730.118759
0.277999,12,731.715801
0.316453,12,733.291457
0.49917,12,734.801405
0.484698,12,736.286083
0.329472,12,737.85374
0.212008,12,739.366527
0.383573,12,740.822655
0.248459,12,742.341438
0.271355,12,743.746364
0.134907,12,745.292854
0.040608,12,746.850606
0.180036,12,748.33301
0.143052,12,749.975187
0.504973,12,751.41622
0.493812,12,752.947261
0.121426,12,754.429954
-0.090666,12,755.957098
0.242841,12,757.461084
0.350356,12,758.978441
0.378449,12,760.456955
0.366325,12,762.054099
0.19212,12,763.584777
0.590484,12,765.024258
0.432954,12,766.609459
0.245415,12,768.189049
0.19272,12,769.697233
0.337308,12,771.189595
0.331815,12,773.120598
0.490854,12,774.689023
0.269329,12,776.205787
0.19412,12,777.82138
0.351729,12,779.30418
0.161933,12,780.798158
0.46236,12,782.397768
0.258688,12,783.957588
0.544844,12,785.43894
0.42284,12,786.948251
0.345882,12,788.50909
0.346952,12,790.029736
0.321036,12,791.462481
0.423767,12,793.029996
0.50629,12,794.565946
0.377651,12,796.142621
0.415147,12,797.643053
0.553559,12,799.099092
0.565014,12,800.592893
0.443948,12,802.014708
0.423676,12,803.526309
0.147442,12,805.044045
-0.515739,12,806.737414
0.434639,12,808.248074
0.557038,12,809.668862
0.27755,12,811.18136
0.294434,12,812.732217
0.281852,12,814.337078
0.354563,12,815.815372
0.395919,12,817.357093
0.210121,12,818.855127
0.295838,12,820.398575
-0.200858,12,822.03701
0.287497,12,823.550031
0.176013,12,825.095066
0.262101,12,826.604873
0.431103,12,828.102955
0.370373,12,829.608346
0.313891,12,831.161632
0.58228,12,832.597409
0.426793,12,834.079245
0.493061,12,835.65304
0.442414,12,837.225169
0.293971,12,839.074786
0.516895,12,840.538711
0.420966,12,842.004228
0.21307,12,843.478497
0.450982,12,845.000676
0.36831,12,846.609984
0.368524,12,848.068288
0.456316,12,849.567415
0.280972,12,851.124156
0.249208,12,852.606623
0.197113,12,854.081151
0.52056,12,855.485991
0.570029,12,856.924367
0.304363,12,858.364069
0.549154,12,859.808828
0.348724,12,861.294797
0.515537,12,862.801195
0.411891,12,864.356464
0.71374,12,865.769334
0.445207,12,867.239626
0.34615,12,868.829338
0.561356,12,870.314005
0.428782,12,871.79882
0.457305,12,873.301867
0.347243,12,874.798088
0.374633,12,876.394136
0.438218,12,877.825269
0.489977,12,879.468375
0.317713,12,880.976464
0.212972,12,882.395987
-0.003126,12,883.90212
0.521035,12,885.444123
0.343644,12,886.943429
0.042834,12,888.46961
0.370722,12,889.98878
0.320433,12,891.504271
0.347722,12,893.008073
0.267297,12,894.5189
0.509119,12,896.052582
0.35009,12,897.459228
0.44562,12,898.999728
0.431566,12,900.464215
0.241317,12,902.275208
0.390522,12,903.729772
0.461495,12,905.145048
0.380961,12,906.565736
0.360553,12,908.0431
0.61997,12,909.515727
0.35343,12,911.036959
0.610519,12,912.535961
0.307907,12,914.009877
0.379175,12,915.548847
0.231844,12,917.03038
0.633311,12,918.420485
0.490197,12,919.858655
0.46671,12,921.309138
0.32379,12,922.910361
0.449507,12,924.419411
0.289521,12,925.989778
0.272372,12,927.596532
0.360531,12,929.081417
0.309469,12,930.615853
0.588947,12,932.049941
0.541287,12,933.452035
0.261659,12,935.030412
0.359615,12,936.541556
0.431276,12,937.999657
0.453672,12,939.462268
0.163305,12,940.960051
0.372036,12,942.436671
0.464354,12,943.908046
0.188809,12,945.336983
0.332556,12,946.952565
0.387472,12,948.423851
0.400088,12,949.96261
0.436458,12,951.458417
0.36476,12,952.949964
0.197138,12,954.496961
0.38995,12,955.945454
0.287121,12,957.547948
0.568666,12,958.935204
0.479934,12,960.387774
0.317884,12,961.920614
0.314262,12,963.31795
0.415757,12,964.772753
0.151403,12,966.616667
0.503191,12,968.048917
0.356836,12,969.462659
0.410281,12,971.02812
0.290754,12,972.516925
0.41025,12,974.01607
0.438388,12,975.499093
0.309008,12,977.026996
0.447518,12,978.532152
0.452442,12,979.946574
0.349703,12,981.42085
0.502837,12,982.924401
0.395708,12,984.431143
0.540613,12,985.939882
0.454427,12,987.297351
0.47064,12,988.803977
0.468707,12,990.237022
0.591296,12,991.633693
0.154469,12,993.155286
0.259854,12,994.630984
0.463847,12,996.058908
0.199282,12,997.548971
0.56133,12,998.936208
0.374746,12,1000.371978
0.272285,12,1001.929551
0.328931,12,1003.390106
0.420096,12,1004.820531
0.56746,12,1006.284319
0.088924,12,1007.892621
0.604521,12,1009.328264
0.420208,12,1010.793577
0.377397,12,1012.279827
0.441447,12,1013.87483
0.535322,12,1015.390489
0.196554,12,1016.852767
0.363355,12,1018.304737
0.386765,12,1019.748939
0.356445,12,1021.242811
0.260312,12,1022.733682
0.456243,12,1024.177028
0.354865,12,1025.721633
0.55039,12,1027.141184
0.611482,12,1028.544567
0.318309,12,1030.331438
0.2214,12,1031.840159
0.277353,12,1033.325139
0.464422,12,1034.815104
0.491355,12,1036.23879
0.372458,12,1037.683969
0.416318,12,1039.165161
0.383824,12,1040.624669
0.492642,12,1042.04441
0.312327,12,1043.443655
0.463665,12,1044.926168
0.384561,12,1046.396115
0.441114,12,1047.87914
0.404174,12,1049.328964
0.37196,12,1050.836497
0.468428,12,1052.374506
0.291194,12,1053.899068
0.398107,12,1055.339264
0.548496,12,1056.777993
0.62595,12,1058.314221
0.738619,12,1059.699634
0.664877,12,1061.157368
0.486468,12,1062.641516
0.45527,12,1064.2147
0.688303,12,1065.628491
0.409368,12,1067.078217
0.298322,12,1068.640348
0.560981,12,1070.076514
0.515779,12,1071.612197
0.723714,12,1073.065169
0.73274,12,1074.557084
0.357181,12,1076.03306
0.274227,12,1077.564919
0.274393,12,1079.064995
0.557036,12,1080.590684
0.416024,12,1082.087647
0.495272,12,1083.675529
0.386063,12,1085.163257
0.510819,12,1086.642405
0.24108,12,1088.087535
0.529271,12,1089.561416
0.438127,12,1091.160733
0.48274,12,1092.940674
0.669982,12,1094.346163
0.328871,12,1095.773242
0.578767,12,1097.236326
0.306438,12,1098.709803
0.458828,12,1100.251526
0.547279,12,1101.681311
0.388788,12,1103.118058
0.54187,12,1104.568262
0.268964,12,1105.968183
0.528379,12,1107.440673
0.400141,12,1108.873137
0.375468,12,1110.391101
0.55942,12,1111.712875
0.496415,12,1113.21318
0.700364,12,1114.617743
0.465834,12,1116.091334
0.408459,12,1117.635454
0.603729,12,1119.018362
0.695345,12,1120.474576
0.529967,12,1121.946633
0.560856,12,1123.430045
0.451134,12,1124.890659
0.550148,12,1126.349934
0.522091,12,1127.73658
0.490123,12,1129.107989
0.297013,12,1130.517267
0.598457,12,1131.952851
0.567187,12,1133.373733
0.642916,12,1134.870083
0.485265,12,1136.256409
0.529007,12,1137.769495
0.369215,12,1139.270876
0.457113,12,1140.781188
0.332257,12,1142.213878
0.558167,12,1143.611362
0.531865,12,1145.104151
0.66393,12,1146.528611
0.594831,12,1147.978826
0.539007,12,1149.349341
0.417156,12,1150.747896
0.643539,12,1152.168313
0.529468,12,1153.575681
0.367156,12,1155.302364
0.650478,12,1156.765469
0.315299,12,1158.23315
0.465756,12,1159.603996
0.493587,12,1161.080589
0.532877,12,1162.5317
0.55,12,1163.969433
0.250327,12,1165.475805
0.691223,12,1166.91321
0.462994,12,1168.371952
0.46587,12,1169.781794
0.634611,12,1171.172904
0.510589,12,1172.572805
0.52443,12,1174.053381
0.354239,12,1175.441437
0.597127,12,1176.81928
0.524506,12,1178.29478
0.678011,12,1179.727191
0.621003,12,1181.211814
0.626334,12,1182.68308
0.4809,12,1184.131289
0.574271,12,1185.551736
0.558815,12,1187.037312
0.597414,12,1188.457072
0.419206,12,1189.91917
0.438717,12,1191.302573
0.598155,12,1192.806121
0.542008,12,1194.274155
0.568412,12,1195.71368
0.474849,12,1197.180495
0.477676,12,1198.60996
0.439033,12,1200.081476
0.524228,12,1201.559545
0.365021,12,1202.98968
0.424721,12,1204.442921
0.474811,12,1205.879135
0.408312,12,1207.345052
0.569819,12,1208.668259
0.622396,12,1210.166558
0.391261,12,1211.58192
0.264071,12,1213.001124
0.449115,12,1214.36218
0.431797,12,1215.757149
0.633706,12,1217.579552
0.623892,12,1218.976328
0.538301,12,1220.447655
0.285574,12,1221.991249
0.433152,12,1223.458987
0.564966,12,1224.860012
0.668597,12,1226.248047
0.53876,12,1227.674963
0.315864,12,1229.1097
0.300544,12,1230.57229
0.752329,12,1232.014859
0.605536,12,1233.417538
0.563796,12,1234.911559
0.486471,12,1236.386629
0.697341,12,1237.886125
0.579478,12,1239.269404
0.434478,12,1240.67458
0.502326,12,1242.122562
0.49341,12,1243.626293
0.432005,12,1245.063431
0.417916,12,1246.447996
0.26851,12,1247.994176
0.450891,12,1249.503328
0.613501,12,1250.894324
0.499963,12,1252.301107
0.233275,12,1253.860542
0.586245,12,1255.300458
0.495814,12,1256.838648
0.45932,12,1258.303534
0.41343,12,1259.831911
0.581925,12,1261.234539
0.450232,12,1262.629186
0.649345,12,1264.107835
0.745676,12,1265.539776
0.572214,12,1266.943738
0.530816,12,1268.406907
0.550461,12,1269.859432
0.662952,12,1271.258596
0.333241,12,1272.869333
0.493736,12,1274.268178
0.565601,12,1275.674967
0.578626,12,1277.119586
0.609841,12,1278.887954
0.703601,12,1280.361573
0.485796,12,1281.806475
0.323397,12,1283.350152
0.501706,12,1284.755249
0.738377,12,1286.150484
0.504438,12,1287.526125
0.601426,12,1288.994948
0.525854,12,1290.355709
0.588739,12,1291.784779
0.334517,12,1293.327544
0.509673,12,1294.765609
0.593224,12,1296.195052
0.49961,12,1297.677236
0.593803,12,1299.117238
0.600766,12,1300.541044
0.487621,12,1301.952085
0.420973,12,1303.373024
0.543108,12,1304.726946
0.357616,12,1306.22554
0.276376,12,1307.740671
0.680278,12,1309.153068
0.382826,12,1310.584645
0.303015,12,1312.074416
0.440453,12,1313.556074
0.233433,12,1315.074137
0.465053,12,1316.491628
0.407246,12,1318.033705
0.419684,12,1319.524888
0.621022,12,1320.887369
0.495247,12,1322.486945
0.322806,12,1323.891049
0.718627,12,1325.317877
0.524702,12,1326.768526
0.438892,12,1328.199183
0.488332,12,1329.620324
0.481695,12,1331.015347
0.624907,12,1332.431471
0.540149,12,1333.879001
0.532296,12,1335.276314
0.409372,12,1336.653134
0.465465,12,1338.171791
0.543682,12,1339.589938
0.559109,12,1341.340529
0.735363,12,1342.825271
0.583535,12,1344.259634
0.709752,12,1345.674473
0.666222,12,1347.101021
0.482911,12,1348.609704
0.351557,12,1349.90174
0.644517,12,1351.349937
0.653515,12,1352.815974
0.589312,12,1354.258322
0.674613,12,1355.68614
0.306517,12,1357.197009
0.560503,12,1358.627885
0.514861,12,1360.13349
0.620563,12,1361.46676
0.626803,12,1362.865454
0.744827,12,1364.347382
0.460969,12,1365.898187
0.638472,12,1367.352759
0.507678,12,1368.755705
0.6394,12,1370.180179
0.459324,12,1371.610683
0.600953,12,1373.038346
0.565072,12,1374.474204
0.453655,12,1375.938323
0.620641,12,1377.313919
0.508838,12,1378.709012
0.602727,12,1380.097484
0.718874,12,1381.531358
0.646595,12,1382.83665
0.548435,12,1384.274709
0.529059,12,1385.697985
0.60161,12,1387.125495
0.550387,12,1388.50292
0.522401,12,1389.925051
0.492084,12,1391.34238
0.624507,12,1392.825577
0.49295,12,1394.305185
0.731656,12,1395.752423
0.722829,12,1397.207487
0.541997,12,1398.634177
0.619719,12,1400.042984
0.6172,12,1401.459365
0.593683,12,1403.315106
0.557888,12,1404.689648
0.431331,12,1406.125088
0.445784,12,1407.532728
0.767473,12,1408.992161
0.650554,12,1410.436955
0.540755,12,1411.859202
0.494813,12,1413.334202
0.545476,12,1414.738773
0.646942,12,1416.168408
0.521343,12,1417.616068
0.557929,12,1419.042777
0.557186,12,1420.485346
0.616599,12,1421.85701
0.580697,12,1423.309291
0.799113,12,1424.639543
0.626374,12,1426.038155
0.564351,12,1427.418155
0.693854,12,1428.96727
0.70504,12,1430.330912
0.460329,12,1431.799928
0.417108,12,1433.347757
0.595501,12,1434.879765
0.637346,12,1436.287755
0.569971,12,1437.778319
0.61947,12,1439.20079
0.544925,12,1440.667124
0.552725,12,1442.132896
0.603337,12,1443.47631
0.528437,12,1444.882944
0.741057,12,1446.277586
0.461997,12,1447.65883
0.672699,12,1449.033181
0.506154,12,1450.5001
0.486031,12,1452.029156
0.720438,12,1453.384844
0.585888,12,1454.73845
0.497086,12,1456.173354
0.684288,12,1457.571119
0.543939,12,1458.921495
0.550183,12,1460.344277
0.626217,12,1461.678884
0.655218,12,1463.460485
0.581975,12,1464.943147
0.569265,12,1466.310723
0.391655,12,1467.82529
0.342662,12,1469.288756
0.6188,12,1470.672575
0.655812,12,1472.083441
0.555091,12,1473.431381
0.540205,12,1474.820862
0.596245,12,1476.270179
0.470441,12,1477.726006
0.694551,12,1479.202129
0.598588,12,1480.674015
0.719487,12,1482.136263
0.518422,12,1483.518301
0.453022,12,1484.948622
0.455131,12,1486.374958
0.668603,12,1487.762629
0.359831,12,1489.230955
0.432327,12,1490.62594
0.73903,12,1492.048012
0.751961,12,1493.505424
0.594389,12,1494.989708
0.477067,12,1496.495546
0.63019,12,1497.895135
0.717906,12,1499.309535
0.51483,12,1500.790699
0.584363,12,1502.212055
0.752625,12,1503.59396
0.647981,12,1504.985786
0.629975,12,1506.409756
0.639987,12,1507.782839
0.774018,12,1509.125666
0.58183,12,1510.573183
0.481079,12,1512.008013
0.712851,12,1513.388451
0.635032,12,1514.769375
0.729671,12,1516.176822
0.769074,12,1517.576431
0.903251,12,1518.935735
0.530059,12,1520.376605
0.641826,12,1521.699236
0.459405,12,1523.135374
0.535761,12,1524.911966
0.602959,12,1526.316401
0.668002,12,1527.689639
0.445878,12,1529.128442
0.919255,12,1530.549702
0.509221,12,1531.974893
0.639866,12,1533.405782
0.638224,12,1534.748254
0.652955,12,1536.206921
0.570058,12,1537.609884
0.459261,12,1539.049814
0.635792,12,1540.41444
0.568682,12,1541.852606
0.605187,12,1543.243163
0.650896,12,1544.612344
0.639054,12,1546.117012
0.673158,12,1547.521302
0.883758,12,1548.849627
0.676006,12,1550.282623
0.515985,12,1551.732247
0.662591,12,1553.126063
0.632445,12,1554.546801
0.307473,12,1555.961418
0.624842,12,1557.432925
0.571365,12,1558.805503
0.668818,12,1560.177601
0.592532,12,1561.568191
0.354335,12,1562.963155
0.615228,12,1564.28816
0.594459,12,1565.776724
0.630757,12,1567.135387
0.691511,12,1568.560955
0.418464,12,1569.92042
0.747337,12,1571.282183
0.398423,12,1572.665433
0.887648,12,1573.989097
0.552756,12,1575.346405
0.547957,12,1576.796594
0.467878,12,1578.126929
0.575289,12,1579.486697
0.493062,12,1580.921878
0.707829,12,1582.288793
0.61537,12,1583.655483
0.639817,12,1585.431074
0.700221,12,1586.801095
0.839817,12,1588.1473
0.564165,12,1589.532838
0.532958,12,1590.926475
0.434993,12,1592.310134
0.511014,12,1593.693923
0.627434,12,1595.064043
0.724177,12,1596.433606
0.78523,12,1597.766474
0.660578,12,1599.134658
0.646555,12,1600.540917
0.583755,12,1601.886689
0.582692,12,1603.298224
0.364904,12,1604.820601
0.483788,12,1606.2143
0.50803,12,1607.672897
0.381295,12,1609.079489
0.534834,12,1610.459815
0.493121,12,1611.866756
0.707971,12,1613.22811
0.501548,12,1614.536981
0.787821,12,1615.887142
0.763211,12,1617.237982
0.61354,12,1618.627355
0.499286,12,1620.189506
0.443201,12,1621.61695
0.299569,12,1623.023033
0.567412,12,1624.414754
0.716166,12,1625.842569
0.638461,12,1627.318217
0.66677,12,1628.763535
0.402107,12,1630.083135
0.61018,12,1631.46295
0.6669,12,1632.835305
0.826934,12,1634.262093
0.608254,12,1635.59947
0.824079,12,1637.004146
0.808699,12,1638.380119
0.691545,12,1639.834574
0.573946,12,1641.171011
0.433988,12,1642.549141
0.734161,12,1644.331143
0.683976,12,1645.69313
0.518692,12,1647.04281
0.598601,12,1648.493896
0.482819,12,1649.851825
0.555133,12,1651.286534
0.577333,12,1652.693872
0.519634,12,1654.128716
0.593424,12,1655.529569
0.531195,12,1656.953655
0.631084,12,1658.350318
0.488367,12,1659.717888
0.623849,12,1661.044332
0.698242,12,1662.40863
0.609434,12,1663.813151
0.66853,12,1665.22233
0.496602,12,1666.683771
0.776966,12,1668.093914
0.51016,12,1669.554877
0.817158,12,1670.938676
0.749009,12,1672.376149
0.695062,12,1673.76998
0.615702,12,1675.087378
0.742913,12,1676.45041
0.460957,12,1677.840066
0.712739,12,1679.255932
0.61017,12,1680.692999
0.776045,12,1682.090692
0.680769,12,1683.484704
0.57301,12,1684.858268
0.689929,12,1686.212837
0.713296,12,1687.58202
0.664503,12,1688.941528
0.595783,12,1690.287914
0.559451,12,1691.646828
