#{"t_start": 1788079090.1634924, "env_id": "None"}
r,l,t
0.356489,12,439.587943
0.200512,12,441.312293
0.614292,12,442.803038
0.294178,12,444.405967
0.154018,12,446.15545
0.349537,12,447.752324
0.330246,12,449.343261
0.228531,12,450.911674
-0.085642,12,452.577672
0.239517,12,454.2436
0.120895,12,455.942446
0.472867,12,457.488363
0.280983,12,459.05107
0.551309,12,460.591191
0.469186,12,462.19426
0.278763,12,463.797002
0.346299,12,465.361464
0.446469,12,466.912865
0.070673,12,468.512908
0.135867,12,470.176224
0.318458,12,471.782146
0.175801,12,473.375185
0.174247,12,474.922487
-0.027811,12,476.578604
0.176904,12,478.204369
0.453816,12,479.753845
0.431564,12,481.337052
0.12536,12,483.026406
0.429329,12,484.654381
0.472796,12,486.16742
0.035882,12,487.784832
0.1662,12,489.538182
0.334687,12,491.09387
0.09387,12,492.764888
0.242191,12,494.364238
0.487072,12,495.882186
0.22149,12,497.511214
0.439693,12,499.063756
0.461248,12,500.650891
0.164972,12,502.225225
0.175287,12,504.273247
0.149699,12,505.789381
-0.12809,12,507.551335
0.452833,12,509.091766
0.459495,12,510.724191
0.215923,12,512.416617
0.446076,12,513.94475
0.558453,12,515.691237
0.392864,12,517.223188
0.27057,12,518.826242
0.335095,12,520.370398
0.465579,12,521.964241
0.387369,12,523.509106
0.482994,12,525.105884
0.512351,12,526.561749
0.117206,12,528.245282
0.377355,12,529.875223
0.496558,12,531.407297
0.442843,12,533.046036
0.528542,12,534.643326
0.263156,12,536.166606
0.561916,12,537.756017
0.300847,12,539.334054
0.457763,12,540.907939
0.275951,12,542.497328
0.3296,12,544.041226
0.138568,12,545.673149
0.284308,12,547.253289
0.387667,12,548.84006
0.520439,12,550.417512
0.311444,12,551.978239
0.290879,12,553.674885
-0.102936,12,555.358293
0.346261,12,556.980544
0.442176,12,558.569768
0.408016,12,560.136853
0.63576,12,561.713901
0.527509,12,563.314429
0.316539,12,564.874845
0.421158,12,566.45695
0.501111,12,567.93136
-0.111123,12,569.618371
0.079137,12,571.270837
0.320648,12,573.264146
0.261354,12,574.753871
0.297518,12,576.381032
0.410759,12,577.924698
0.417779,12,579.383231
0.531536,12,580.899247
0.149559,12,582.519994
0.169324,12,584.182554
0.371948,12,586.063984
0.381668,12,587.757922
0.458608,12,589.270811
0.588631,12,590.777797
0.30692,12,592.341134
0.274397,12,593.902432
0.377518,12,595.532823
0.257664,12,597.066597
0.374751,12,598.658514
0.062303,12,600.301316
0.677392,12,601.840458
0.241865,12,603.419179
0.358925,12,604.925653
0.451549,12,606.452605
0.458591,12,608.02861
0.410397,12,609.837525
0.510869,12,611.86118
0.327504,12,613.872239
0.383819,12,615.514574
