#{"t_start": 1788076436.0149305, "env_id": "None"}
r,l,t
-0.239651,12,3.015852
0.159878,12,4.750915
-0.027687,12,6.589112
-0.199561,12,8.441525
-0.083731,12,10.190391
-0.429811,12,12.04743
0.039462,12,13.824854
-0.174525,12,15.635036
0.231343,12,17.313815
0.06273,12,19.034947
0.13084,12,20.699114
0.092583,12,22.523187
0.137637,12,24.218621
0.216879,12,25.993824
-0.397051,12,27.867159
0.356243,12,29.445062
0.083557,12,31.153408
0.013491,12,32.950656
0.154804,12,34.634298
0.205837,12,36.372753
0.110949,12,38.05716
-0.344028,12,39.851935
0.000256,12,41.507046
-0.19619,12,43.357792
0.041296,12,45.061776
0.223887,12,46.854685
0.033014,12,48.58665
-0.134215,12,50.302841
0.202936,12,51.985367
0.275107,12,53.763734
0.245847,12,55.395973
-0.314489,12,57.135053
-0.139808,12,58.933561
0.120364,12,60.649397
0.069136,12,62.290832
-0.356228,12,64.084325
-0.231851,12,65.852834
-0.020502,12,67.595135
0.158217,12,69.251977
-0.193831,12,71.054973
-0.00473,12,72.791325
0.08654,12,74.600028
-0.256899,12,76.784211
-0.340822,12,78.579831
0.29187,12,80.268493
0.198988,12,81.933484
0.169707,12,83.648657
-0.010448,12,85.452177
0.187356,12,87.178445
-0.031435,12,88.920516
-0.208379,12,90.768597
0.0042,12,92.497233
0.078996,12,94.218931
-0.091277,12,96.000915
0.172273,12,97.697559
0.204146,12,99.445745
0.003338,12,101.246413
-0.203417,12,103.011914
-0.059588,12,104.721028
0.039612,12,106.460284
0.2022,12,108.263039
-0.258931,12,110.112602
0.077565,12,111.800337
0.213944,12,113.422352
0.384016,12,115.06194
-0.071954,12,116.737804
0.121562,12,118.401968
-0.061862,12,120.116492
0.111037,12,121.779303
0.048223,12,123.599268
0.222365,12,125.335969
0.049379,12,127.117994
0.127548,12,128.684287
0.438599,12,130.273716
-0.037014,12,131.936599
0.084519,12,133.678728
0.005017,12,135.342546
0.081015,12,137.015002
0.155111,12,138.733849
-0.087815,12,140.44879
0.445279,12,142.175354
0.042417,12,143.956489
-0.160142,12,145.841401
0.1583,12,147.61064
0.010619,12,149.276221
-0.23145,12,151.430039
0.110619,12,153.111149
0.020579,12,154.872757
0.584581,12,156.449379
0.202141,12,158.174526
-0.024271,12,159.814779
0.134568,12,161.58851
0.23207,12,163.325586
0.218455,12,165.081471
-0.030809,12,166.782256
-0.179659,12,168.44853
0.1122,12,170.202847
0.124146,12,171.895209
0.248921,12,173.544044
0.259463,12,175.189349
0.293841,12,176.864838
0.024926,12,178.597335
0.217631,12,180.20841
0.373435,12,181.812159
0.1436,12,183.504131
0.140807,12,185.234709
-0.147671,12,186.841927
0.005302,12,188.453659
-0.126744,12,190.317423
0.037768,12,192.078303
0.226039,12,193.668451
0.083587,12,195.251485
-0.234707,12,196.979413
0.114523,12,198.679143
-0.03313,12,200.429905
0.148244,12,202.016344
-0.108019,12,203.820429
0.240967,12,205.598806
0.170619,12,207.359684
0.156566,12,209.09167
-0.015636,12,210.756481
-0.064794,12,212.471897
0.17775,12,214.216816
-0.07326,12,215.919526
-0.170649,12,217.551745
0.059686,12,219.300465
-0.297688,12,221.073651
0.049296,12,222.788825
0.01358,12,224.834363
0.21828,12,226.549126
0.533746,12,228.018586
0.215206,12,229.711687
0.000849,12,231.400708
0.336027,12,233.091062
0.191585,12,234.80576
0.062499,12,236.462623
-0.09564,12,238.173622
0.003116,12,239.844869
0.234944,12,241.466884
0.352653,12,243.011233
0.1114,12,244.688482
0.426863,12,246.253427
-0.227062,12,247.980102
0.187303,12,249.613008
0.218056,12,251.208273
0.041603,12,252.937728
0.010754,12,254.657876
0.193286,12,256.32395
0.052018,12,258.040417
0.003181,12,259.685747
0.376013,12,261.219834
0.132645,12,262.84731
0.187938,12,264.538129
0.401364,12,266.176229
0.03521,12,267.887201
0.102577,12,269.591197
0.343217,12,271.302953
0.320395,12,272.876283
0.183154,12,274.507723
-0.129766,12,276.231897
0.070699,12,277.831671
0.213873,12,279.464344
0.177467,12,281.079555
0.009142,12,282.855226
0.340476,12,284.468861
0.205344,12,286.177169
0.268786,12,287.797448
0.079685,12,289.48189
0.194551,12,291.158382
0.324666,12,292.869358
0.154204,12,294.902679
-0.299638,12,296.612199
0.327528,12,298.208294
0.272455,12,299.752569
0.250142,12,301.404069
0.341569,12,302.995926
0.272925,12,304.693073
0.466504,12,306.311867
0.491294,12,307.927558
0.102632,12,309.675927
0.103445,12,311.213401
0.256445,12,312.830053
0.301412,12,314.494591
0.269362,12,316.205645
0.325614,12,317.741841
0.09274,12,319.298904
0.247813,12,320.902802
0.092684,12,322.632965
-0.022777,12,324.396898
0.268516,12,326.065223
-0.255834,12,327.754147
0.072237,12,329.443702
0.027091,12,331.090466
0.460185,12,332.803996
0.451417,12,334.545645
-0.24809,12,336.381016
0.463936,12,337.948732
0.285871,12,339.588082
0.234751,12,341.217377
-0.056275,12,342.916965
-0.095355,12,344.635427
0.236938,12,346.265404
0.334062,12,347.877208
0.318252,12,349.414333
0.084426,12,351.010401
0.399876,12,352.543122
0.232116,12,354.129866
0.288421,12,355.744809
0.502387,12,357.396206
0.097503,12,359.009134
0.384657,12,360.595551
0.152115,12,362.339268
0.249222,12,363.962042
0.399973,12,366.004994
