#{"t_start": 1788068843.1782038, "env_id": "None"}
r,l,t
0.477018,12,459.828135
0.407034,12,461.408284
0.513441,12,462.981245
0.007675,12,464.767464
0.290959,12,466.490217
0.308969,12,468.186428
0.591239,12,469.783216
0.444164,12,471.373279
0.381892,12,472.984867
0.456206,12,474.588276
0.430846,12,476.167773
0.425726,12,477.766417
0.565495,12,479.300805
0.217421,12,480.914285
0.235503,12,482.632971
0.451427,12,484.314102
0.395067,12,486.022402
0.36832,12,487.600244
0.162423,12,489.291439
0.292309,12,491.02991
0.450134,12,492.640104
0.569345,12,494.237082
0.252371,12,496.018362
0.536459,12,497.659348
0.576756,12,499.221567
0.119192,12,500.934893
0.297767,12,502.781072
0.317777,12,504.379029
0.230046,12,506.15638
0.375905,12,507.757405
0.485169,12,509.301953
0.35729,12,511.025561
0.51931,12,512.581793
0.558292,12,514.217153
0.481579,12,515.733272
0.101458,12,517.850598
0.390759,12,519.40611
-0.087081,12,521.229152
0.56704,12,522.805095
0.601932,12,524.418174
0.397932,12,526.115046
0.520841,12,527.663145
0.66915,12,529.308795
0.534522,12,530.895421
0.462609,12,532.587458
0.417149,12,534.231346
0.585626,12,535.875112
0.485054,12,537.471981
0.552412,12,539.085294
0.659694,12,540.611793
0.40247,12,542.37768
0.435129,12,544.077404
0.601756,12,545.697263
0.634497,12,547.444576
0.622929,12,549.126771
0.345743,12,550.664376
0.630177,12,552.363306
0.545947,12,553.941077
0.576284,12,555.517461
0.443838,12,557.104559
0.486772,12,558.700062
0.288493,12,560.308504
0.427804,12,561.971396
0.512089,12,563.653461
0.63221,12,565.239532
0.47175,12,566.807619
0.56041,12,568.599082
0.111607,12,570.313708
0.28475,12,572.008819
0.375707,12,573.726019
0.583623,12,575.352189
0.642137,12,576.907617
0.415985,12,578.630385
0.519779,12,580.265959
0.464638,12,581.848858
0.62332,12,583.370534
0.031878,12,585.082119
0.290095,12,586.747115
0.43819,12,588.886743
0.405502,12,590.472118
0.45158,12,592.146791
0.402517,12,593.748065
0.489309,12,595.212868
0.544766,12,596.741879
0.336361,12,598.353973
0.341671,12,600.049115
0.445723,12,601.721481
0.537857,12,603.322608
0.613118,12,604.912327
0.676698,12,606.424727
0.453448,12,608.043309
0.370457,12,609.729173
0.350092,12,611.391318
0.401103,12,612.946805
0.409313,12,614.611527
0.249503,12,616.268842
0.675646,12,617.856601
0.398979,12,619.479919
0.542387,12,621.101811
0.572928,12,622.680419
0.508288,12,624.269194
0.494778,12,625.856285
0.576923,12,627.463022
0.403957,12,629.145473
0.452275,12,630.838341
0.646465,12,632.463724
0.381521,12,634.058914
0.335814,12,635.718606
0.493986,12,637.425106
0.54074,12,639.054549
0.455143,12,640.764759
0.441773,12,642.338667
0.563525,12,643.902422
0.61944,12,645.525146
0.475641,12,647.112104
0.497167,12,648.790726
0.666984,12,650.329384
0.651747,12,651.873969
0.627729,12,653.45218
0.569627,12,655.013263
0.336274,12,656.857507
0.391741,12,658.743993
0.624515,12,660.299852
0.456609,12,662.029344
0.288843,12,663.639301
0.398138,12,665.287376
0.424022,12,667.001036
0.59574,12,668.550325
0.602251,12,670.067516
0.547599,12,671.778589
0.531155,12,673.349287
0.405047,12,675.005398
0.408691,12,676.644845
0.457065,12,678.268376
0.657552,12,679.875629
0.722995,12,681.376213
0.461824,12,683.039947
0.502969,12,684.527334
0.572423,12,686.117571
0.648803,12,687.771438
0.66869,12,689.316912
0.477361,12,691.02644
0.794731,12,692.698431
0.517861,12,694.270427
0.575691,12,695.732201
0.476519,12,697.382783
0.396961,12,698.942776
0.530988,12,700.549331
0.529057,12,702.182566
0.290398,12,703.738477
0.412746,12,705.368652
0.643127,12,706.910191
0.445057,12,708.626531
0.558208,12,710.211902
0.499082,12,711.898108
0.710096,12,713.573838
0.578939,12,715.112069
0.433646,12,716.805125
0.410479,12,718.46569
0.573485,12,719.97732
0.687411,12,721.471862
0.513849,12,723.161366
0.34669,12,724.725947
0.501227,12,726.707707
0.317904,12,728.448131
0.494362,12,729.986526
0.513294,12,731.540406
0.756118,12,733.049456
0.474324,12,734.627035
0.624635,12,736.190159
0.721569,12,737.741774
0.413671,12,739.475676
0.595975,12,740.998893
0.69746,12,742.626178
0.459073,12,744.294429
0.635097,12,745.851704
0.461361,12,747.406665
0.50361,12,749.012474
0.47077,12,750.59964
0.397044,12,752.339209
0.614757,12,754.037127
0.873442,12,755.613407
0.437269,12,757.199853
0.46092,12,758.775533
0.617639,12,760.320194
0.744857,12,761.822448
0.415901,12,763.402806
0.599621,12,764.992118
0.364606,12,766.550214
0.39033,12,768.159437
0.502269,12,769.729558
0.463878,12,771.42098
0.677689,12,772.976195
0.576219,12,774.622552
0.545719,12,776.181696
0.204782,12,777.800848
0.549169,12,779.378364
0.624926,12,780.931064
0.486352,12,782.477007
0.557569,12,784.145559
0.570201,12,785.772655
0.715282,12,787.269602
0.744649,12,788.869504
0.464366,12,790.599335
0.527974,12,792.108223
0.435122,12,793.792822
0.49276,12,795.880067
0.723734,12,797.465048
0.558255,12,799.014253
0.479239,12,800.613598
0.590638,12,802.162674
0.504438,12,803.711443
0.604342,12,805.327891
0.442615,12,806.986162
0.720914,12,808.528417
0.690215,12,810.057508
0.733652,12,811.771031
0.677871,12,813.374453
0.353996,12,814.938022
0.71076,12,816.564259
0.476518,12,818.25103
0.690207,12,819.891906
0.690329,12,821.436069
0.629142,12,822.917179
0.784982,12,824.406249
0.55261,12,825.904703
0.816646,12,827.399267
0.323669,12,829.030001
0.114385,12,830.74229
0.672149,12,832.454107
0.782144,12,833.931203
0.418675,12,835.477795
0.563215,12,837.160781
0.471308,12,838.843743
0.420397,12,840.426317
0.632779,12,842.058896
0.358999,12,843.647269
0.610055,12,845.182743
0.030859,12,846.882321
0.308415,12,848.497566
0.663724,12,850.130681
0.664649,12,851.690824
0.713249,12,853.303414
0.482373,12,854.876713
0.471787,12,856.477119
0.912362,12,857.98738
0.584469,12,859.509312
0.673441,12,861.13183
0.452657,12,862.861238
0.711733,12,864.728088
0.698017,12,866.25284
0.571111,12,867.783559
0.548458,12,869.317356
0.523664,12,870.88972
0.552534,12,872.539478
0.586746,12,874.008277
0.694108,12,875.567282
0.461937,12,877.107108
0.577552,12,878.714996
0.559828,12,880.22034
0.670753,12,881.645192
0.765265,12,883.085484
0.689297,12,884.568468
0.644859,12,886.068496
0.58482,12,887.547665
0.747642,12,889.102747
0.729007,12,890.617675
0.890464,12,892.062179
0.692638,12,893.566854
0.656971,12,895.185904
0.889409,12,896.705747
0.628678,12,898.252632
0.637018,12,899.825018
0.775137,12,901.29749
0.506472,12,902.918745
0.609702,12,904.443696
0.761391,12,905.991403
0.658739,12,907.547932
0.52196,12,909.016789
0.536383,12,910.606777
0.592635,12,912.185634
0.501537,12,913.732335
0.425753,12,915.372197
0.433631,12,916.894068
0.539046,12,918.428365
0.69809,12,919.961209
0.528421,12,921.508073
0.662314,12,923.102904
0.452439,12,924.608301
0.591584,12,926.206437
0.806572,12,927.628878
0.638084,12,929.47154
0.506883,12,930.98088
0.545538,12,932.43469
0.565042,12,933.859557
0.701944,12,935.45105
0.6087,12,936.968337
0.690617,12,938.518975
0.859379,12,940.039124
0.559038,12,941.554029
0.717568,12,943.132262
0.552879,12,944.597304
0.732174,12,946.127057
0.829222,12,947.586199
0.633766,12,949.078787
0.556729,12,950.717899
0.712211,12,952.214986
0.633478,12,953.85347
0.593733,12,955.502378
0.720306,12,957.021409
0.649411,12,958.599405
0.770191,12,960.095506
0.768682,12,961.618147
0.60841,12,963.182762
0.406852,12,964.798545
0.749811,12,966.353558
0.569656,12,967.925669
0.606257,12,969.458481
0.719782,12,970.995123
0.821002,12,972.459951
0.467762,12,973.96628
0.663522,12,975.554137
0.640772,12,977.149545
0.739676,12,978.668185
0.533932,12,980.230656
0.678529,12,981.762999
0.430169,12,983.345107
0.384656,12,984.890851
0.586243,12,986.394913
0.865735,12,987.82467
0.763043,12,989.264707
0.621875,12,990.830437
0.667011,12,992.339915
0.655273,12,993.871846
0.469079,12,995.778511
0.784109,12,997.299188
0.610772,12,998.772205
0.552301,12,1000.334415
0.545977,12,1001.861944
0.549671,12,1003.423046
0.841029,12,1004.880823
0.7005,12,1006.36437
0.703828,12,1007.935145
0.638587,12,1009.434864
0.557921,12,1010.993991
0.703823,12,1012.623491
0.643858,12,1014.182517
0.661242,12,1015.76833
0.620928,12,1017.210702
0.640464,12,1018.81615
0.58949,12,1020.300528
0.772171,12,1021.716013
0.593473,12,1023.328227
0.549619,12,1024.758929
0.748314,12,1026.248094
0.459314,12,1027.85361
0.82705,12,1029.27093
0.629518,12,1030.741172
0.632512,12,1032.353516
0.69588,12,1033.864191
0.538641,12,1035.379744
0.688107,12,1036.836763
0.455277,12,1038.507869
0.748788,12,1040.00591
0.726689,12,1041.514672
0.576103,12,1043.077771
0.634787,12,1044.624038
0.783734,12,1046.139495
0.757628,12,1047.625819
0.553162,12,1049.194881
0.634331,12,1050.739155
0.546862,12,1052.223074
0.544876,12,1053.722461
0.756459,12,1055.200413
0.619812,12,1056.777049
0.848975,12,1058.222735
0.707634,12,1059.803052
0.606775,12,1061.627369
0.438654,12,1063.182062
0.589642,12,1064.754337
0.757389,12,1066.242623
0.653256,12,1067.732241
0.764945,12,1069.191391
0.69976,12,1070.731291
0.716557,12,1072.226933
0.66838,12,1073.626822
0.614252,12,1075.120511
0.682051,12,1076.664394
0.828518,12,1078.173075
0.737661,12,1079.665292
0.824492,12,1081.102151
0.58184,12,1082.650533
0.729928,12,1084.125728
0.583777,12,1085.706275
0.834434,12,1087.15801
0.717193,12,1088.638679
0.800204,12,1090.201344
0.824559,12,1091.631481
0.828367,12,1093.072447
0.576195,12,1094.604233
0.685141,12,1096.268281
0.710319,12,1097.715215
0.708076,12,1099.194074
0.613197,12,1100.810821
0.862944,12,1102.221572
0.730893,12,1103.728831
0.853631,12,1105.233962
0.924993,12,1106.74362
0.604548,12,1108.210152
0.612797,12,1109.730302
0.546878,12,1111.37993
0.767556,12,1112.895518
0.801404,12,1114.325684
0.80421,12,1115.95344
0.592165,12,1117.500022
0.797477,12,1118.934377
0.442614,12,1120.39876
0.618611,12,1121.993969
0.723285,12,1123.595798
0.591721,12,1125.481159
0.832854,12,1127.001989
0.692016,12,1128.475543
0.691173,12,1130.009156
0.713957,12,1131.487515
0.810365,12,1133.007764
0.88312,12,1134.412024
0.70042,12,1135.864678
0.592727,12,1137.468453
0.484105,12,1138.901617
0.713912,12,1140.480231
0.719141,12,1141.881643
0.798658,12,1143.35524
0.732457,12,1144.701061
0.605633,12,1146.298923
0.798907,12,1147.800398
0.674853,12,1149.384965
0.678246,12,1150.918969
0.789694,12,1152.317496
0.852008,12,1153.813449
0.819848,12,1155.350891
0.646434,12,1156.880765
0.689916,12,1158.43632
0.70308,12,1159.960048
0.506709,12,1161.429752
0.735326,12,1162.942578
0.662156,12,1164.362831
0.672037,12,1165.896126
0.690921,12,1167.364032
0.742469,12,1169.000766
0.670005,12,1170.419608
0.757742,12,1172.008697
0.713194,12,1173.647146
0.783575,12,1175.170075
0.621191,12,1176.598813
0.65273,12,1178.0732
0.76562,12,1179.547316
0.862252,12,1180.996897
0.828273,12,1182.533684
0.777059,12,1183.944001
0.62015,12,1185.427745
0.797878,12,1186.884445
0.759177,12,1188.326612
0.715473,12,1190.129637
0.853631,12,1191.646811
0.604857,12,1193.139598
0.74945,12,1194.580987
0.763477,12,1196.121429
0.73339,12,1197.566203
0.908781,12,1198.972996
0.57584,12,1200.512975
0.854988,12,1201.970473
0.666756,12,1203.449335
0.725546,12,1204.907532
0.664643,12,1206.463499
0.735627,12,1207.829148
0.746886,12,1209.433242
0.665192,12,1210.89046
0.808652,12,1212.275187
0.793879,12,1213.760432
0.752715,12,1215.283009
0.792939,12,1216.79555
0.820108,12,1218.319628
0.791362,12,1219.796135
0.688846,12,1221.290525
0.696593,12,1222.848509
0.710128,12,1224.348421
0.569764,12,1225.968272
0.71973,12,1227.321033
0.72982,12,1228.889159
0.693172,12,1230.470934
0.835258,12,1231.937246
0.696554,12,1233.430431
0.556735,12,1235.041747
0.792589,12,1236.562979
0.799314,12,1238.101457
0.647529,12,1239.64446
0.703533,12,1241.101664
0.579957,12,1242.615719
0.756216,12,1244.109226
0.748839,12,1245.53356
0.819581,12,1247.043538
0.772487,12,1248.465465
0.675283,12,1249.920247
0.772339,12,1251.416009
0.760705,12,1252.894902
0.649393,12,1254.810614
0.870011,12,1256.333334
0.551961,12,1257.874646
0.635945,12,1259.449136
0.831175,12,1260.927532
0.745861,12,1262.349205
0.799753,12,1263.742148
0.755272,12,1265.197292
0.669017,12,1266.780703
0.566357,12,1268.262315
0.998445,12,1269.698905
0.716696,12,1271.166162
0.888988,12,1272.702399
0.717617,12,1274.223809
0.786681,12,1275.734479
0.90757,12,1277.181032
0.724643,12,1278.588325
0.69792,12,1280.090479
0.79872,12,1281.626716
0.774923,12,1283.084545
0.695496,12,1284.494103
0.515012,12,1286.027201
0.73499,12,1287.625363
0.836391,12,1289.086223
0.643078,12,1290.537897
0.660601,12,1292.17572
0.767812,12,1293.603945
0.777629,12,1295.148604
0.764981,12,1296.649359
0.680791,12,1298.198518
0.877142,12,1299.624639
0.828707,12,1301.118373
0.712404,12,1302.701902
0.88854,12,1304.156828
0.815918,12,1305.586391
0.65064,12,1307.03421
0.75244,12,1308.569797
0.899279,12,1309.984558
0.645612,12,1311.620998
0.759539,12,1313.092019
0.785486,12,1314.476623
0.654891,12,1315.925473
0.74595,12,1317.762405
0.764845,12,1319.339583
0.728828,12,1320.826782
0.66722,12,1322.407497
0.703483,12,1323.888234
0.893195,12,1325.300398
0.759937,12,1326.706696
0.886661,12,1328.153882
0.821065,12,1329.514544
0.835252,12,1330.900021
0.699373,12,1332.470812
0.775373,12,1333.979795
0.847029,12,1335.438642
0.652408,12,1336.993577
0.823658,12,1338.413845
0.808416,12,1339.882229
0.720975,12,1341.369474
0.611139,12,1342.842323
0.670173,12,1344.325106
0.578325,12,1345.814056
0.67916,12,1347.253348
0.797318,12,1348.699848
0.585886,12,1350.228446
0.644124,12,1351.805259
0.649355,12,1353.308183
0.468944,12,1354.952081
0.869816,12,1356.460455
0.640037,12,1357.981743
0.715311,12,1359.540242
0.786247,12,1360.970819
0.864679,12,1362.472165
0.70322,12,1363.902945
0.997205,12,1365.320979
0.726307,12,1366.780528
0.774463,12,1368.224532
0.693944,12,1369.846272
0.895864,12,1371.217869
0.780456,12,1372.687368
0.825536,12,1374.176463
0.68143,12,1375.680109
0.625537,12,1377.129762
0.778862,12,1378.714008
0.79451,12,1380.216854
0.862979,12,1382.025054
0.848998,12,1383.501307
0.704765,12,1384.943126
0.75419,12,1386.372795
0.729045,12,1387.802613
0.797958,12,1389.301176
0.673639,12,1390.681034
0.727624,12,1392.196938
0.747939,12,1393.752555
0.754561,12,1395.195571
1.00612,12,1396.629698
0.640276,12,1398.118685
0.877431,12,1399.578207
0.787865,12,1401.12399
0.586085,12,1402.607354
0.884284,12,1404.022971
0.882385,12,1405.436632
0.647865,12,1406.893861
0.87978,12,1408.338584
0.659027,12,1409.795642
0.923646,12,1411.211671
0.569501,12,1412.723426
0.801045,12,1414.132028
0.668295,12,1415.60029
0.665304,12,1417.145783
0.889577,12,1418.524111
